Year,MonthOfYear,DayOfMonth,HourOfDay(UTC),AirTemperature(C),filename
2011,4,28,9,-8.67,KAN_B_hour_v03.csv
2011,4,28,10,-9.54,KAN_B_hour_v03.csv
2011,4,28,11,-10.54,KAN_B_hour_v03.csv
2011,4,28,12,-9.39,KAN_B_hour_v03.csv
2011,4,28,13,-9.32,KAN_B_hour_v03.csv
2011,4,28,14,-8.7,KAN_B_hour_v03.csv
2011,4,28,15,-8.09,KAN_B_hour_v03.csv
2011,4,28,16,-7.34,KAN_B_hour_v03.csv
2011,4,28,17,-7.03,KAN_B_hour_v03.csv
2011,4,28,18,-6.48,KAN_B_hour_v03.csv
2011,4,28,19,-6.26,KAN_B_hour_v03.csv
2011,4,28,20,-6.55,KAN_B_hour_v03.csv
2011,4,28,21,-6.79,KAN_B_hour_v03.csv
2011,4,28,22,-7.61,KAN_B_hour_v03.csv
2011,4,28,23,-8.12,KAN_B_hour_v03.csv
2011,4,29,0,-8.55,KAN_B_hour_v03.csv
2011,4,29,1,-9.33,KAN_B_hour_v03.csv
2011,4,29,2,-9.66,KAN_B_hour_v03.csv
2011,4,29,3,-10.08,KAN_B_hour_v03.csv
2011,4,29,4,-9.48,KAN_B_hour_v03.csv
2011,4,29,5,-8.99,KAN_B_hour_v03.csv
2011,4,29,6,-8.83,KAN_B_hour_v03.csv
2011,4,29,7,-9.79,KAN_B_hour_v03.csv
2011,4,29,8,-9.78,KAN_B_hour_v03.csv
2011,4,29,9,-9.39,KAN_B_hour_v03.csv
2011,4,29,10,-8.92,KAN_B_hour_v03.csv
2011,4,29,11,-8.31,KAN_B_hour_v03.csv
2011,4,29,12,-8.2,KAN_B_hour_v03.csv
2011,4,29,13,-7.53,KAN_B_hour_v03.csv
2011,4,29,14,-7.42,KAN_B_hour_v03.csv
2011,4,29,15,-7.38,KAN_B_hour_v03.csv
2011,4,29,16,-6.8,KAN_B_hour_v03.csv
2011,4,29,17,-6.25,KAN_B_hour_v03.csv
2011,4,29,18,-6.54,KAN_B_hour_v03.csv
2011,4,29,19,-6.35,KAN_B_hour_v03.csv
2011,4,29,20,-6.25,KAN_B_hour_v03.csv
2011,4,29,21,-6.47,KAN_B_hour_v03.csv
2011,4,29,22,-6.75,KAN_B_hour_v03.csv
2011,4,29,23,-7.02,KAN_B_hour_v03.csv
2011,4,30,0,-7.16,KAN_B_hour_v03.csv
2011,4,30,1,-7.33,KAN_B_hour_v03.csv
2011,4,30,2,-7.84,KAN_B_hour_v03.csv
2011,4,30,3,-7.94,KAN_B_hour_v03.csv
2011,4,30,4,-9.27,KAN_B_hour_v03.csv
2011,4,30,5,-9.55,KAN_B_hour_v03.csv
2011,4,30,6,-10.09,KAN_B_hour_v03.csv
2011,4,30,7,-9.46,KAN_B_hour_v03.csv
2011,4,30,8,-8.85,KAN_B_hour_v03.csv
2011,4,30,9,-8.55,KAN_B_hour_v03.csv
2011,4,30,10,-7.9,KAN_B_hour_v03.csv
2011,4,30,11,-7.57,KAN_B_hour_v03.csv
2011,4,30,12,-6.87,KAN_B_hour_v03.csv
2011,4,30,13,-6.18,KAN_B_hour_v03.csv
2011,4,30,14,-5.39,KAN_B_hour_v03.csv
2011,4,30,15,-4.63,KAN_B_hour_v03.csv
2011,4,30,16,-3.91,KAN_B_hour_v03.csv
2011,4,30,17,-2.67,KAN_B_hour_v03.csv
2011,4,30,18,-1.83,KAN_B_hour_v03.csv
2011,4,30,19,-1.98,KAN_B_hour_v03.csv
2011,4,30,20,-2.46,KAN_B_hour_v03.csv
2011,4,30,21,-2.97,KAN_B_hour_v03.csv
2011,4,30,22,-3.58,KAN_B_hour_v03.csv
2011,4,30,23,-3.85,KAN_B_hour_v03.csv
2011,5,1,0,-4.14,KAN_B_hour_v03.csv
2011,5,1,1,-4.73,KAN_B_hour_v03.csv
2011,5,1,2,-5.04,KAN_B_hour_v03.csv
2011,5,1,3,-5.21,KAN_B_hour_v03.csv
2011,5,1,4,-5.54,KAN_B_hour_v03.csv
2011,5,1,5,-5.95,KAN_B_hour_v03.csv
2011,5,1,6,-6.3,KAN_B_hour_v03.csv
2011,5,1,7,-6.49,KAN_B_hour_v03.csv
2011,5,1,8,-6.18,KAN_B_hour_v03.csv
2011,5,1,9,-5.7,KAN_B_hour_v03.csv
2011,5,1,10,-5.1,KAN_B_hour_v03.csv
2011,5,1,11,-4.63,KAN_B_hour_v03.csv
2011,5,1,12,-4.02,KAN_B_hour_v03.csv
2011,5,1,13,-3.58,KAN_B_hour_v03.csv
2011,5,1,14,-2.76,KAN_B_hour_v03.csv
2011,5,1,15,-2.18,KAN_B_hour_v03.csv
2011,5,1,16,-1.66,KAN_B_hour_v03.csv
2011,5,1,17,-1.03,KAN_B_hour_v03.csv
2011,5,1,18,-0.62,KAN_B_hour_v03.csv
2011,5,1,19,-0.34,KAN_B_hour_v03.csv
2011,5,1,20,-0.46,KAN_B_hour_v03.csv
2011,5,1,21,-0.71,KAN_B_hour_v03.csv
2011,5,1,22,-1.3,KAN_B_hour_v03.csv
2011,5,1,23,-2.19,KAN_B_hour_v03.csv
2011,5,2,0,-3.64,KAN_B_hour_v03.csv
2011,5,2,1,-4.54,KAN_B_hour_v03.csv
2011,5,2,2,-4.61,KAN_B_hour_v03.csv
2011,5,2,3,-4.57,KAN_B_hour_v03.csv
2011,5,2,4,-4.65,KAN_B_hour_v03.csv
2011,5,2,5,-5.13,KAN_B_hour_v03.csv
2011,5,2,6,-6.1,KAN_B_hour_v03.csv
2011,5,2,7,-6.41,KAN_B_hour_v03.csv
2011,5,2,8,-6.32,KAN_B_hour_v03.csv
2011,5,2,9,-5.01,KAN_B_hour_v03.csv
2011,5,2,10,-4.16,KAN_B_hour_v03.csv
2011,5,2,11,-3.51,KAN_B_hour_v03.csv
2011,5,2,12,-2.98,KAN_B_hour_v03.csv
2011,5,2,13,-2.44,KAN_B_hour_v03.csv
2011,5,2,14,-1.69,KAN_B_hour_v03.csv
2011,5,2,15,-1.13,KAN_B_hour_v03.csv
2011,5,2,16,-0.41,KAN_B_hour_v03.csv
2011,5,2,17,0.27,KAN_B_hour_v03.csv
2011,5,2,18,0.7,KAN_B_hour_v03.csv
2011,5,2,19,0.82,KAN_B_hour_v03.csv
2011,5,2,20,0.42,KAN_B_hour_v03.csv
2011,5,2,21,-0.56,KAN_B_hour_v03.csv
